kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 199 : 120320 842240 0 0 0 0 0 0 0 
_1.ptx 200 : 120320 972896 0 0 0 0 0 0 0 
_1.ptx 201 : 120320 721920 0 0 0 0 0 0 0 
_1.ptx 210 : 6400 38400 0 0 0 0 0 0 0 
_1.ptx 211 : 6400 51424 0 0 0 0 0 0 0 
_1.ptx 214 : 6400 8800 0 0 0 0 0 0 50 
_1.ptx 216 : 5000 36132 0 0 0 0 0 0 0 
_1.ptx 217 : 5000 66660 0 0 0 0 0 0 0 
_1.ptx 218 : 5000 55124 0 0 0 0 0 0 0 
_1.ptx 219 : 5000 40821 0 185 185 0 0 0 0 
_1.ptx 220 : 5000 18261 0 0 0 0 0 0 0 
_1.ptx 221 : 5000 36183 0 0 0 0 0 0 0 
_1.ptx 222 : 5000 53602 0 0 0 0 0 0 0 
_1.ptx 223 : 5000 55488 0 0 0 0 0 0 0 
_1.ptx 224 : 5000 30225 5664 0 0 329 185 0 0 
_1.ptx 227 : 6400 38400 0 0 0 0 0 0 0 
_1.ptx 68 : 6400 733440 128 0 0 0 0 0 0 
_1.ptx 69 : 6400 84480 0 0 0 0 0 0 0 
_1.ptx 70 : 6400 19200 0 0 0 0 0 0 0 
_1.ptx 71 : 6400 65600 0 0 0 0 0 0 0 
_1.ptx 72 : 6400 47040 0 0 0 0 0 0 0 
_1.ptx 73 : 6400 72192 0 0 0 0 0 0 0 
_1.ptx 74 : 6400 43968 0 0 0 0 0 0 0 
_1.ptx 75 : 6400 87744 0 0 0 0 0 0 0 
_1.ptx 76 : 6400 19200 0 0 0 0 0 0 0 
_1.ptx 77 : 6400 71072 0 0 0 0 0 0 0 
_1.ptx 78 : 6400 38688 0 0 0 0 0 0 0 
_1.ptx 79 : 6400 70752 0 0 0 0 0 0 0 
_1.ptx 80 : 6400 51744 0 0 0 0 0 0 0 
_1.ptx 81 : 6400 46208 0 0 0 0 0 0 0 
_1.ptx 82 : 6400 39008 0 0 0 0 0 0 0 
_1.ptx 83 : 6400 51936 0 0 0 0 0 0 0 
_1.ptx 84 : 6400 45568 0 0 0 0 0 0 0 
_1.ptx 85 : 6400 52960 0 0 0 0 0 0 0 
_1.ptx 86 : 6400 41216 0 0 0 0 0 0 0 
_1.ptx 87 : 6400 52320 0 0 0 0 0 0 0 
_1.ptx 88 : 6400 3848 0 0 0 0 0 0 10 
_1.ptx 90 : 5792 35832 0 0 0 0 0 0 0 
_1.ptx 91 : 5792 17376 0 0 0 0 0 0 0 
_1.ptx 92 : 5792 41020 0 0 0 0 0 0 0 
_1.ptx 93 : 5792 67040 0 0 0 0 0 0 0 
_1.ptx 94 : 5792 64096 0 0 0 0 0 0 0 
